Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
MMTC-0016;MANIPULADOR TELESCOPICO;ALO LIFT BY FARESIN;1740;FR04005945;;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2020;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
MTHP-0001;MARTILLO HIDRAULICO;CHICAGO PNEUMATIC;RX-6;BES005772;;MARTILLOS HIDRAULICOS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MTHP-0002;MARTILLO HIDRAULICO;EPIROC;EC 155T CL;DEQ1910001;;MARTILLOS HIDRAULICOS;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MTSD-0001;MOTOSOLDADORA;MILLER;BIG BLUE 400 X;ME420120E;;MOTOSOLDADORAS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MTSD-0002;MOTOSOLDADORA;MILLER;BIG BLUE 400 X;ME430005E;;MOTOSOLDADORAS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MTSD-0004;MOTOSOLDADORA;MILLER;BIG BLUE 400 X;ME420122E;;MOTOSOLDADORAS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0004;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300138795;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0005;PLATAFORMA TRABAJO ALTURA;GENIE;S-125;S12510-2755;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2010;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0006;PLATAFORMA TRABAJO ALTURA;JLG;450 AJ;3001104544;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2007;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0007;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300146546;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0009;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300146531;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0011;PLATAFORMA TRABAJO ALTURA;JLG;1250 AJP;0300138537S;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0012;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300138779;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0013;PLATAFORMA TRABAJO ALTURA;JLG;1250 AJP;300138536;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2010;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0014;PLATAFORMA TRABAJO ALTURA;JLG;1250 AJP;300144329;KJSR-61;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0015;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300126513;CDDH-27;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2008;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0017;PLATAFORMA TRABAJO ALTURA;JLG;800 AJ;0300261267;LRBY-62;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0018;PLATAFORMA TRABAJO ALTURA;JLG;800 AJ;0300261269;LRBY-61;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0019;PLATAFORMA TRABAJO ALTURA;JLG;1350 SJP;300265644;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;FUERA DE SERVICIO - REPARACION - MANTENCION
PTAD-0020;PLATAFORMA TRABAJO ALTURA;JLG;1350 SJP;300263885;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
PTAD-0021;PLATAFORMA TRABAJO ALTURA;JLG;1350 SJP;300265897;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
PTAD-0022;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;0300189788;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2015;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0023;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;0300193104;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2014;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0024;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300199143;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2015;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0025;PLATAFORMA TRABAJO ALTURA;JLG;1250 SJP;0300252085;LPKZ-25;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0026;PLATAFORMA TRABAJO ALTURA;JLG;800 AJ;0300261268;LPKY-74;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
RAMP-0005;SEMIRREMOLQUE RAMPLA ;RANDON;SR-PT-CS-0335;9ADP1413KKM444649;KDJV-44;SEMIREMOLQUES;CAMIONES;2019;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
RAMP-0006;SEMIRREMOLQUE RAMPLA ;RANDON;SR-PT-CS-0330;9ADP1353KKM435855;KDJV-46;SEMIREMOLQUES;CAMIONES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
RAMP-0007;SEMIRREMOLQUE RAMPLA ;RANDON;SR-PT-CS-0330;9ADP1353KKM435856;KDJV-45;SEMIREMOLQUES;CAMIONES;2019;// GRUPO EMI/ CC-0387 EPC MUELLE CENTINELA/ ;OPERATIVO - EN USO
RAMP-0009;SEMIRREMOLQUE RAMPLA;RANDON;SR-PT-CS-03-30;9ADG1353STM561864;PWVC-87;;;2026;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
RAMP-0010;SEMIRREMOLQUE RAMPLA;RANDON;SR-PT-CS-03-30;9ADG1353STM561865;PWVC-71;;;2026;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
RAMP-0011;SEMIRREMOLQUE RAMPLA;RANDON;SR-CS-AL-03-35;91EC1413STE002850;PXLZ-37;;;2026;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;EN PREPARACION OBRA
RAMP-0012;SEMIRREMOLQUE RAMPLA;RANDON;SR-CS-AL-03-35;91EC1413STE002851;PXLY-70;;;2026;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
RAMP-0013;SEMIRREMOLQUE RAMPLA;RANDON;SR-CS-AL-03-35;91EC1413STE002953;PXLZ-47;;;2026;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;EN PREPARACION OBRA
RAMP-0014;SEMIRREMOLQUE RAMPLA;RANDON;SR-PT-CS-03-30;9ADK1353STM563275;PWXF-10;SEMIREMOLQUES;MAQUINARIA PESADA;2026;// GRUPO EMI/ CC-0415 Construccion y montajecondensadores sincronos S/E montemina/ ;OPERATIVO - EN USO
RTEX-0006;RETROEXCAVADORA;JCB;3CX 4X4;S0R3CXTTKK2740781;LPPX-47;RETROEXCAVADORAS;MAQUINARIA PESADA;2019;// GRUPO EMI/ CC-0003 - CALAMA/ ;EN PREPARACION OBRA
RTEX-0008;RETROEXCAVADORA;JOHN DEERE;310P;1BZ310PAARFX02218;VDTJ-81;RETROEXCAVADORAS;MAQUINARIA PESADA;2025;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
RTEX-0009;RETROEXCAVADORA;JOHN DEERE;310P;1BZ310PATRFX03179;VDTJ-82;RETROEXCAVADORAS;MAQUINARIA PESADA;2025;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
RTEX-0010;RETROEXCAVADORA;JHON DEERE;310P;1BZ310PALTFX05807;;RETROEXCAVADORA;;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
RTEX-003A;MARTILLO HIDRAULICO;;;;;;;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TMFS-0001;TERMOFUSIONADORA;MCELROY;TRACSTAR 618 SERIE I AT18P1011851;C171688;;;;2025;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
TMFS-0002;TERMOFUSIONADORA;MCELROY;TRACSTAR 1200 SERIE I ;C172237;;;;2025;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
TRAC-0001;TRACTO CAMION;FREIGHTLINER;ARGOSY 6X4 60K ISM 400;1FUJAWA839LAA9917;BVWV-14;TRACTO CAMIONES;CAMIONES;2009;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRAC-0005;TRACTO CAMION PLUMA;INTERNATIONAL;7600 6X4;3HSWYAHT4DN293882;GJSD-53;TRACTO CAMIONES;CAMIONES;2014;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRAC-0006;TRACTO CAMION;VOLVO;FH 6X4 460;9BVRG40D2LE871491;LPCV-56;TRACTO CAMIONES;CAMIONES;2019;// GRUPO EMI/ CC-0387 EPC MUELLE CENTINELA/ ;OPERATIVO - EN USO
TRAC-0007;TRACTO CAMION;VOLVO;FH 6X4 460;9BVRG20D0LE868457;LJLG-33;TRACTO CAMIONES;CAMIONES;2019;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
TRAC-0008;TRACTO CAMION;VOLVO;FH 6X4 460;9BVRG20D3LE868458;LLWT-90;TRACTO CAMIONES;CAMIONES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
TRAC-0009;TRACTO CAMION PLUMA;VOLVO;FMX 500 8X4;93KXG30G4LE868711;LJTS-51;TRACTO CAMIONES;CAMIONES;2019;// GRUPO EMI/ CC-0408 RAJO OXIDOS/ ;OPERATIVO - EN USO
TRAC-0011;TRACTO CAMION;VOLVO;FH 6X4 460;9BVRG40D8PE917616;SBKD-97;TRACTO CAMIONES;CAMIONES;2022;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
TRAC-0012;TRACTO CAMION;MACK;AN64TX;1M1AN4HY2TM004846;VPSJ-40;;;2026;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
TRAC-0013;TRACTO CAMION;MACK;AN64TX;1M1AN4HY8TM004821;VPRR-88;;;2026;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
TRAC-0014;TRACTO CAMION PLUMA;RENAULT;C440;VF630S358SD000171;VPRR-87;;;2026;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
TRAC-0015;TRACTO CAMION PLUMA;RENAULT;C440;VF630S35XSD000172;VPRS-13;;;2026;// GRUPO EMI/ CC-0415 Construccion y montajecondensadores sincronos S/E montemina/ ;OPERATIVO - EN USO
TRAC-0016;TRACTO CAMION PLUMA;RENAULT;C440;VF630S353SD000160;VPRS-24;;;2026;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;EN PREPARACION OBRA
TRAC-0017;TRACTO CAMION;MACK;AN64TX;1M1AN4HY5TM005084;VPZW-35;TRACTO CAMIONES;MAQUINARIA SEMIPESADA;2026;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;EN PREPARACION OBRA
TRIL-0007;TORRE DE ILUMINACION;L. WACKER;LTN 6;20165762;;TORRES DE ILUMINACION;EQUIPOS MENORES;2002;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0008;TORRE DE ILUMINACION;INGERSOLLRAND;LSC;433324UKVEU6;;TORRES DE ILUMINACION;EQUIPOS MENORES;2008;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0009;TORRE DE ILUMINACION;INGERSOLLRAND;LSC;433352;;TORRES DE ILUMINACION;EQUIPOS MENORES;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0010;TORRE DE ILUMINACION;INGERSOLLRAND;LSC;433357;;TORRES DE ILUMINACION;EQUIPOS MENORES;2012;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0011;TORRE DE ILUMINACION;INGERSOLLRAND;LSC;424123UCVE06.;;TORRES DE ILUMINACION;EQUIPOS MENORES;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0012;TORRE DE ILUMINACION;INGERSOLLRAND;LSC;436784UBWE06;;TORRES DE ILUMINACION;EQUIPOS MENORES;2012;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0013;TORRE DE ILUMINACION;INGERSOLLRAND;LSC;429588UHVE06;;TORRES DE ILUMINACION;EQUIPOS MENORES;2012;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0014;TORRE DE ILUMINACION;TEREX;RL4000;RL410-3681;;TORRES DE ILUMINACION;EQUIPOS MENORES;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0015;TORRE DE ILUMINACION;TEREX;RL4000;RL410-3683;;TORRES DE ILUMINACION;EQUIPOS MENORES;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0016;TORRE DE ILUMINACION;L. WACKER;LTN 6;140-24389577;;TORRES DE ILUMINACION;EQUIPOS MENORES;2017;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0017;TORRE DE ILUMINACION;L. WACKER;LTN 6;140-24389580;;TORRES DE ILUMINACION;EQUIPOS MENORES;2017;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0018;TORRE DE ILUMINACION;L. WACKER;LTN 6;14024388299;;TORRES DE ILUMINACION;EQUIPOS MENORES;2017;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRIL-0019;TORRE DE ILUMINACION;MAGNUM;MLT3060MMH;1217412;;TORRES DE ILUMINACION;EQUIPOS MENORES;2012;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0020;TORRE DE ILUMINACION;MAGNUM;MLT3060MMH;1217401;;TORRES DE ILUMINACION;EQUIPOS MENORES;2012;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0021;TORRE DE ILUMINACION;JCB;LTM9;1698547;;TORRES DE ILUMINACION;EQUIPOS MENORES;2018;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
TRIL-0022;TORRE DE ILUMINACION;JCB;LTM9;1698523;;TORRES DE ILUMINACION;EQUIPOS MENORES;2018;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0023;TORRE DE ILUMINACION;JCB;LTM9;1698548;;TORRES DE ILUMINACION;EQUIPOS MENORES;2018;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0024;TORRE DE ILUMINACION;ATLAS COPCO;HILIGTH B5;WUX920325;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
TRIL-0025;TORRE DE ILUMINACION;ATLAS COPCO;HILIGTH B5;WUX920326;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRIL-0026;TORRE DE ILUMINACION;ATLAS COPCO;HILIGTH B5;WUX920328;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
TRIL-0027;TORRE DE ILUMINACION;ATLAS COPCO;HILIGTH B5;WUX920330;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRIL-0028;TORRE DE ILUMINACION;ATLAS COPCO;HILIGTH B5;WUX920337;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRIL-0029;TORRE DE ILUMINACION;JCB;LTM-9;1699152;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
TRIL-0030;TORRE DE ILUMINACION;JCB;LTM-9;1699382;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0031;TORRE DE ILUMINACION;JCB;LTM-9;1699066;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0032;TORRE DE ILUMINACION;JCB;LTM-9;1699150;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRIL-0033;TORRE DE ILUMINACION;JCB;LTM-9;1699151;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0034;TORRE DE ILUMINACION;JCB;LTM-9;1699383;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
TRIL-0035;TORRE DE ILUMINACION;JCB;LTM-9;1699149;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
TRIL-0036;TORRE DE ILUMINACION;JCB;LTM-9;1699063;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
TRIL-0037;TORRE DE ILUMINACION;JCB;LTM-9;1699062;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
TRIL-0038;TORRE DE ILUMINACION;JCB;LTM-9;1699065;;TORRES DE ILUMINACION;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
VCLF-0001;VACUUM LIFT;VACUWORK;RC-10;;;;;;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
TRIS-0001;TORRE DE ILUMINACION SOLAR;BE ENERGY;COMPACTLINE;202602-0027;;TORRES DE ILUMINACION;EQUIPOS MENORES;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
TRIS-0002;TORRE DE ILUMINACION SOLAR;BE ENERGY;COMPACTLINE;202602-0024;;TORRES DE ILUMINACION;EQUIPOS MENORES;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
TRIS-0003;TORRE DE ILUMINACION SOLAR;BE ENERGY;COMPACTLINE;202602-0026;;TORRES DE ILUMINACION;EQUIPOS MENORES;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
TRIS-0004;TORRE DE ILUMINACION SOLAR;BE ENERGY;COMPACTLINE;202602-0023;;TORRES DE ILUMINACION;EQUIPOS MENORES;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
TRIS-0005;TORRE DE ILUMINACION SOLAR;BE ENERGY;COMPACTLINE;202602-0025;;TORRES DE ILUMINACION;EQUIPOS MENORES;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
TRIS-0006;TORRE DE ILUMINACION SOLAR;BE ENERGY;COMPACTLINE;202602-0022;;TORRES DE ILUMINACION;EQUIPOS MENORES;2026;// GRUPO EMI/ CC-0417 Contrato CC-006 Obras Civiles y Montaje Electromecánico PG210 Área Puerto/ CAMION PLUMA/ ;EN PREPARACION OBRA
